Date,Calories,Distance,Low_latitude,Low_longitude,High_latitude,High_longitude,Average_speed,Max_speed,Min_speed,Step_count,Average_weight,Max_weight,Min_weight,Move ,Heart_point,Heart_minutes,Biking_duration,Inactive_duration,Walking_duration,Running_duration
11-04-19,2233.565986,8499.693997,12.9810856,80.2269471,12.99185,80.2373472,0.633279016,8,0.254308999,9899,,,,208,91,91,5304505,67734038,7180904,
11-05-19,2076.372218,7252.744557,12.9838097,80.224938,12.9907422,80.2375476,0.655622725,4.409382343,0.003626044,4569,,,,147,101,101,5965125,74140038,3586920,
11-06-19,1956.689715,7684.873894,12.9839735,80.2269309,12.9917234,80.2372365,0.649338262,3.98838973,0.105037384,4749,,,,115,49,49,3276586,75580501,4159895,
11-07-19,2084.908378,7048.333099,12.9859967,80.2269531,12.9924737,80.235949,0.550119766,3.137393713,0.06798128,3391,,,,154,104,104,6735500,73854791,2926159,
11-08-19,1741.274808,3220.187151,12.9840259,80.2279039,12.9916381,80.236261,0.476758274,2.342777967,0.124569111,3267,,,,66,18,18,1159871,80180196,2593944,
11-09-19,2126.522763,12106.34713,12.9840683,80.2248405,12.9939735,80.2370936,0.624758271,4.369663239,0.146572322,4902,,,,137,76,76,5037047,72050826,5505578,
11-10-19,1997.548343,7531.221245,12.9841281,80.2272734,12.9925047,80.237194,0.657414573,8,0,2191,,,,128,95,95,5997574,77116875,2114781,
11-11-19,1946.424,6648.071572,12.9837266,80.2270129,12.9918326,80.2359647,0.575436351,3.038537979,0.114908077,7732,,,,127,38,38,1856270,76142339,5608078,
11-12-19,1779.737848,5045.545974,12.984152,80.2270743,12.9922995,80.2358482,0.556425083,5.417823792,0.054619703,3061,,,,82,39,39,2526587,76214455,1836708,
11-13-19,2022.056142,7973.998405,12.9848079,80.227078,12.9924662,80.235892,0.612825347,3.775064468,0.115774773,4316,,,,136,68,68,4375792,74596254,4296611,
11-14-19,1802.411141,4440.258669,12.9870627,80.2268533,12.9927275,80.2359131,0.572695731,4.167861462,0.123023503,3370,,,,75,26,26,1804692,77382763,3024404,
11-15-19,1909.365452,5627.09814,12.9842821,80.2269686,12.9925185,80.2390539,0.535785883,9.900330544,0.122307397,6129,,,,117,39,39,2337516,76838636,4414224,
11-16-19,1969.813221,5132.686284,12.9840788,80.2271366,12.9922513,80.2346159,1.138701206,14,0.226311088,6126,,,,133,51,51,3397330,73361473,4388138,
11-17-19,2007.132229,4774.614268,12.9840994,80.2269493,12.9918968,80.2359138,0.648154724,7.117490292,0.118410818,4745,,,,143,75,75,4714521,71199775,3656085,
11-18-19,1933.499217,7320.945524,12.9840513,80.2269259,12.9927262,80.2371435,0.435923794,8,0.011324023,3166,,,,117,75,75,4856048,75374985,2162290,
11-19-19,1873.584442,6041.684368,12.9836928,80.2270852,12.991933,80.2363983,0.659730938,4.515600681,0.251386136,3309,,,,94,43,43,2853419,78275843,3206704,
11-20-19,1926.355227,6470.255346,12.983837,80.2270744,12.9927239,80.2360374,0.671183009,3.35965991,0.030816166,6220,,,,109,29,29,1724418,76502534,5381392,
11-21-19,2154.609518,15301.58476,12.9661959,80.2289136,12.992625,80.2530331,0.7738336,6.846862316,0.061256684,7518,,,,183,90,90,5194268,67349903,5851928,
11-22-19,2037.038606,7512.422417,12.6196457,80.1955955,12.987158,80.2403747,1.450527032,33.70351028,0.153365955,11481,,,,143,22,22,,63543390,9254187,
11-23-19,2522.926964,14520.0252,12.6085985,80.1698492,12.9904039,80.2401587,0.749228654,41.83496857,0.060175803,16852,,,,282,52,52,3096480,47111248,14839946,
11-24-19,1825.102644,5399.470613,12.983996,80.2328582,13.0848536,80.2757461,4.31646371,43.88898087,0.089303166,7065,,,,100,16,16,550579,48556363,4770921,
11-25-19,1631.320585,1280.122396,,,,,9.137711663,81.92313385,0.165130615,2377,,,,25,2,2,,35862978,1819924,
11-26-19,1813.853648,4549.951492,16.9415757,74.1388774,16.942141,74.140503,0.443300265,5.423291683,0.25502941,7627,,,,90,24,24,,72608648,5164609,
11-27-19,2000.090821,7371.786635,16.9415731,73.9815394,17.004354,74.1328086,0.667715895,23.02049828,0.247244298,13103,,,,154,27,27,,64127652,8577166,
11-28-19,2068.308344,7186.027008,16.9420557,74.1371365,16.9513473,74.140208,0.619497277,8.863792419,0.248858392,11739,,,,175,90,90,2419920,67523350,7090461,60780
11-29-19,1808.216796,3377.655904,,,,,0.466214118,1.32690382,0.234195918,6611,,,,69,2,2,,73135123,4922843,60470
11-30-19,1769.051301,3672.637835,16.6630809,74.2060562,16.696247,74.2244359,2.79051969,40.71021652,0.25502941,6486,,,,88,13,13,,61662908,4343664,
12-01-19,1758.554769,4168.513934,16.9423742,74.133722,16.9513473,74.1405802,0.451006253,1.941304445,0.248833984,7943,,,,102,12,12,,65824379,4151327,
